_ID,TimeSt,Country,Province,City,Latitude,Longitude
4554791,01:34.7,CA,ON,Guelph,43.5215,-80.2338
4554805,01:34.8,CA,ON,Guelph,43.5215,-80.2338
4554848,01:35.2,CA,ON,Kitchener,43.3904,-80.4317
4554889,01:34.4,CA,ON,Owen Sound,44.5642,-80.9428
4554920,01:35.3,CA,ON,London,42.9832,-81.2847
4554980,01:35.9,CA,ON,London,42.9529,-81.3239
4554998,01:36.4,CA,ON,London,42.9202,-81.3183
4555008,01:36.5,CA,ON,Waterloo,43.4663,-80.5402
4555080,01:36.6,CA,ON,Toronto,43.6798,-79.3517
4555120,01:36.6,CA,AB,Canmore,51.0837,-115.368
4555188,01:36.7,CA,AB,Strathcona,53.5646,-113.2792
4555202,01:36.7,CA,ON,Toronto,43.6796,-79.4343
4555220,01:36.8,CA,ON,Thunder Bay,48.4294,-89.2284
4555299,01:37.1,CA,ON,Mississauga,43.5647,-79.5852
4555325,01:37.2,CA,AB,Calgary,50.9316,-114.096
4555402,01:37.6,CA,AB,Calgary,50.9316,-114.096
4555409,01:38.3,CA,QC,Saint-Laurent,45.50387,-73.68473
4555485,01:39.6,CA,AB,Calgary,51.1387,-114.2015
4555569,01:35.3,CA,ON,Kitchener,43.4443,-80.4891
4555606,01:37.6,CA,AB,Calgary,50.9316,-114.096
4555697,01:35.6,CA,ON,London,43.0004,-81.2343
4555741,01:36.2,CA,ON,Kitchener,43.4553,-80.4845
4555788,01:36.3,CA,ON,Waterloo,43.461,-80.583
4555855,01:36.5,CA,ON,Windsor,42.3297,-82.9482
4555934,01:36.3,CA,ON,Waterloo,43.461,-80.583
4556011,01:36.6,CA,ON,Windsor,42.3297,-82.9482
4556044,01:36.7,CA,ON,Ottawa,45.4455,-75.6894
4556115,01:36.6,CA,ON,Windsor,42.3297,-82.9482
4556131,01:36.8,CA,ON,Welland,42.9872,-79.2801
4556166,01:36.8,CA,ON,Toronto,43.6682,-79.4209
4556254,01:36.8,CA,ON,Burlington,43.36961,-79.76472
4556332,01:36.9,CA,QC,Montréal,45.5066,-73.6291
4556368,01:37.1,CA,ON,Mississauga,43.5924,-79.7611
4556455,01:37.1,CA,ON,Toronto,43.6459,-79.3857
4556527,01:37.2,CA,ON,Georgetown,43.5976,-79.94
4556558,01:37.4,CA,QC,Beloeil,45.5846,-73.2039
4556611,01:37.6,CA,AB,Fort Mcmurray,56.6764,-111.3343
4556639,01:37.7,CA,QC,Beloeil,45.5846,-73.2039
4556688,01:38.0,CA,SK,Saskatoon,52.1225,-106.72488
4556694,01:38.5,CA,SK,Saskatoon,52.1225,-106.72488
4556790,01:35.4,CA,ON,Chatham,42.395,-82.217
4556875,01:35.6,CA,ON,London,43.0004,-81.2343
4556929,01:35.4,CA,ON,Chatham,42.395,-82.217
4556952,01:35.7,CA,ON,Kitchener,43.4453,-80.4905
4556954,01:35.6,CA,ON,London,43.0004,-81.2343
4557052,01:36.3,CA,ON,Waterloo,43.461,-80.583
4557124,01:36.5,CA,ON,Kitchener,43.4453,-80.4905
4557125,01:36.6,CA,ON,London,42.9923,-81.2531
4557168,01:36.6,CA,ON,Toronto,43.6796,-79.4343
4557216,01:36.7,CA,ON,Toronto,43.6796,-79.4343
4557307,01:36.7,CA,ON,Oshawa,43.9205,-78.8287
4557354,01:36.7,CA,ON,Toronto,43.6666,-79.3823
4557405,01:36.7,CA,ON,Ottawa,45.3804,-75.7468
4557486,01:36.8,CA,ON,Oakville,43.4309,-79.7767
4557585,01:36.8,CA,ON,Ottawa,45.4164,-75.679
4557657,01:37.1,CA,ON,Orillia,44.61953,-79.42174
4557699,01:37.1,CA,ON,Mississauga,43.697,-79.65
4557775,01:36.8,CA,ON,Oakville,43.4309,-79.7767
4557841,01:37.2,CA,ON,Brampton,43.6656,-79.747
4557911,01:37.3,CA,AB,Calgary,50.9005,-114.0947
4557925,01:36.8,CA,ON,Ottawa,45.4164,-75.679
4557944,01:37.5,CA,AB,Calgary,51.1726,-114.101
4557949,01:37.7,CA,AB,Calgary,51.1327,-114.166
4558042,01:37.5,CA,AB,Calgary,51.1726,-114.101
4558050,01:38.9,CA,AB,Calgary,51.0915,-114.2073
4558063,01:37.4,CA,ON,Mississauga,43.60202,-79.62459
4558116,01:37.8,CA,AB,Fort Mcmurray,56.7141,-111.38
4558156,01:38.1,CA,AB,Edmonton,53.54812,-113.59423
4558203,01:38.8,CA,MB,Winnipeg,49.893,-97.001
4558278,01:39.7,CA,AB,Calgary,51.1387,-114.2015
4558341,01:40.8,CA,AB,Calgary,50.93676,-114.0107
4558381,01:41.8,CA,QC,Saint-Hubert,45.4955,-73.46368
4558444,01:41.9,CA,ON,Thornhill,43.8395,-79.3831
4558522,01:42.1,CA,AB,Calgary,51.1414,-114.076
4558607,01:40.3,CA,AB,Edmonton,53.4104,-113.517
4558675,01:41.1,CA,AB,Calgary,51.0823,-113.9578
